code,name,final_score,beta_mkt_std,beta_smb_std,beta_hml_std,beta_rmw_std,beta_cma_std
000019.SZ,CSI300成分股_000019,1.2557489997867761,2.4060891280995618,2.2216198974173182,-0.9280973740570139,2.262311727587697,0.7797204180380493
000034.SZ,CSI300成分股_000034,0.9268729077824691,0.8258299227839473,1.0593156647657846,0.31005304104970155,1.550891243902197,0.8393281011583034
000009.SZ,CSI300成分股_000009,0.8659375108486249,1.5732412104300944,0.7798390340060529,1.0949688841173462,0.5309958854514202,0.44994886727139083
000017.SZ,CSI300成分股_000017,0.8101195197729769,1.009850169818593,0.3790244653269806,0.216478129460148,1.5867296503588322,0.8802343752003119
000044.SZ,CSI300成分股_000044,0.695745166865013,0.9068686129202417,0.6333175610605095,0.7741847182868851,0.7723218081052937,0.3094982074455338
000046.SZ,CSI300成分股_000046,0.616250659994859,-0.5372831931732275,2.7021906644936977,0.4384941309232033,0.28349657641199144,-0.16061780507796813
000015.SZ,CSI300成分股_000015,0.42661647964768273,-0.334276912329071,1.3943150343812214,0.49095385511053063,0.06752450667066665,0.38850279450333186
000038.SZ,CSI300成分股_000038,0.4198985574397855,-0.17484183983922774,0.7184052799116502,-0.7884998251660637,1.8741195914135544,0.2069255724764462
000027.SZ,CSI300成分股_000027,0.34271687968237086,-1.551144300424842,0.7981155788267249,1.9471698522134877,0.1356329101496196,-0.6995685440668314
000048.SZ,CSI300成分股_000048,0.3342041262716571,-0.3437082808105501,0.8821590596591485,1.7251135378714761,-0.352011587996065,-0.892979540049619
000041.SZ,CSI300成分股_000041,0.3207178439117982,-0.12689874381448307,0.9291506701076783,0.20384784497438707,0.5923890642947212,-0.30091137236561377
000039.SZ,CSI300成分股_000039,0.2835120591082448,0.24019417319960945,-0.2445130835536575,0.08066767683796741,1.1039130808646749,0.0016024027558287886
000014.SZ,CSI300成分股_000014,0.21982917155842507,1.2206117649506263,0.9427401475989127,-1.0056737692533018,0.24266497762708553,0.25961050135068453
000008.SZ,CSI300成分股_000008,0.21264773631841563,-0.3419324731159633,0.7656987200923725,-0.3866298134063391,0.40563208939672213,0.7069819617982657
000040.SZ,CSI300成分股_000040,0.2064679756743709,-2.2676480188614785,0.5796092256540475,2.3713479638707677,-0.5192875368210772,-0.21547848926426305
000011.SZ,CSI300成分股_000011,0.20222501941850396,1.9292372677970422,-0.8535984354520324,-1.0093109860175575,0.9791055119036222,0.6074032324522531
000033.SZ,CSI300成分股_000033,0.18977993446827204,0.18804785294596024,-0.5583131921021527,1.0728686137327808,0.7444442694099251,-1.2072855055924527
000003.SZ,CSI300成分股_000003,0.13171784220983423,-0.009019997302006767,-0.5117053504979593,1.6641012319713906,-0.14605196797816566,-0.9606693606238607
000042.SZ,CSI300成分股_000042,0.1287056903928977,-0.6391209803298681,-0.27414848765128347,-0.3041451665934989,1.0144416112634789,0.6788628253675975
000025.SZ,CSI300成分股_000025,0.07492655006928658,-0.3746772654719846,-0.06654040514917596,0.07487628450432675,0.6544599895956095,-0.25265231736709726
000022.SZ,CSI300成分股_000022,0.06874439825290478,0.15658985615808602,-0.6546193665560921,0.19363640144179478,0.27197206042048266,0.39851785116560634
000018.SZ,CSI300成分股_000018,0.06516044110003834,1.1038313184815807,-1.4417537265083706,0.39739818608511385,0.3812855205637741,-0.04489625355164403
000010.SZ,CSI300成分股_000010,0.013060022652781299,-1.0369516595538841,1.2810269595945787,0.5511689284816416,-0.6937344047362971,-0.3464083417959195
000045.SZ,CSI300成分股_000045,0.00693559777840598,0.4171450918856182,-0.4177675274787669,-0.3741501172839335,0.47753176312758877,0.013812853536018802
000016.SZ,CSI300成分股_000016,-0.024176243397098757,-0.017733641765455974,-0.04641521888392872,0.9979152058839651,-0.7784689522125215,-0.44729811182236995
000029.SZ,CSI300成分股_000029,-0.03182349567653414,-0.9695127868920465,0.9988851964382317,-0.00973107857611438,1.0449672232046872,-2.299884353916778
